date,MILE,fish
2019-04-12,3,112HOR_NF/MF_F_Mainstem
2019-04-15,2.6,112HOR_NF/MF_F_Mainstem
2019-04-17,2.4,112HOR_NF/MF_F_Mainstem
2019-04-23,1.6,112HOR_NF/MF_F_Mainstem
2019-04-26,1.6,112HOR_NF/MF_F_Mainstem
2019-04-29,1.3,112HOR_NF/MF_F_Mainstem
2019-04-30,1.2,112HOR_NF/MF_F_Mainstem
2019-05-02,2.6,112HOR_NF/MF_F_Mainstem
2019-05-13,2.9,112HOR_NF/MF_F_Mainstem
2019-05-15,2.9,112HOR_NF/MF_F_Mainstem
2019-05-20,2.9,112HOR_NF/MF_F_Mainstem
2019-05-23,2.8,112HOR_NF/MF_F_Mainstem
2019-06-13,25.3,112HOR_NF/MF_F_Mainstem
2019-06-22,26.4,112HOR_NF/MF_F_Mainstem
2019-07-19,22.2,112HOR_NF/MF_F_Mainstem
2019-07-26,22,112HOR_NF/MF_F_Mainstem
2019-08-09,22.2,112HOR_NF/MF_F_Mainstem
2019-08-16,22.2,112HOR_NF/MF_F_Mainstem
2019-08-23,22.3,112HOR_NF/MF_F_Mainstem
2019-08-27,22.4,112HOR_NF/MF_F_Mainstem
2019-09-05,22.3,112HOR_NF/MF_F_Mainstem
2019-09-12,22.2,112HOR_NF/MF_F_Mainstem
2019-09-19,22.2,112HOR_NF/MF_F_Mainstem
2019-05-10,2.1,11HOR_SF_M_Mainstem
2019-05-13,0.8,11HOR_SF_M_Mainstem
2019-05-17,0.8,11HOR_SF_M_Mainstem
2019-05-30,12.5,11HOR_SF_M_Mainstem
2019-06-13,10.7,11HOR_SF_M_Mainstem
2019-06-14,10.8,11HOR_SF_M_Mainstem
2019-06-22,10.8,11HOR_SF_M_Mainstem
2019-07-04,10.8,11HOR_SF_M_Mainstem
2019-07-12,10.8,11HOR_SF_M_Mainstem
2019-07-19,10.7,11HOR_SF_M_Mainstem
2019-08-02,10.7,11HOR_SF_M_Mainstem
2019-08-09,10.7,11HOR_SF_M_Mainstem
2019-08-16,10.9,11HOR_SF_M_Mainstem
2019-08-23,10.7,11HOR_SF_M_Mainstem
2019-08-27,10.8,11HOR_SF_M_Mainstem
2019-09-02,10.9,11HOR_SF_M_Mainstem
2019-09-05,10.7,11HOR_SF_M_Mainstem
2019-09-19,10.9,11HOR_SF_M_Mainstem
2019-05-13,3,132HOR_SF_M_SF
2019-06-13,35.6,132HOR_SF_M_SF
2019-07-12,12.8,132HOR_SF_M_SF
2019-08-23,12.9,132HOR_SF_M_SF
2019-09-11,10.4,132HOR_SF_M_SF
2019-09-12,10.6,132HOR_SF_M_SF
2019-09-19,10.4,132HOR_SF_M_SF
2019-04-17,2.5,135HOR_NF/MF_F_Mainstem
2019-05-17,11,135HOR_NF/MF_F_Mainstem
2019-06-13,10.8,135HOR_NF/MF_F_Mainstem
2019-06-14,11.1,135HOR_NF/MF_F_Mainstem
2019-06-22,10.8,135HOR_NF/MF_F_Mainstem
2019-07-04,11.3,135HOR_NF/MF_F_Mainstem
2019-07-19,10.8,135HOR_NF/MF_F_Mainstem
2019-08-09,11.3,135HOR_NF/MF_F_Mainstem
2019-08-27,11,135HOR_NF/MF_F_Mainstem
2019-09-05,11,135HOR_NF/MF_F_Mainstem
2019-09-19,11,135HOR_NF/MF_F_Mainstem
2019-05-10,2.9,139HOR_SF_M_NF
2019-05-17,4.6,139HOR_SF_M_NF
2019-05-23,5.3,139HOR_SF_M_NF
2019-06-06,10.7,139HOR_SF_M_NF
2019-06-13,14.1,139HOR_SF_M_NF
2019-06-14,14.1,139HOR_SF_M_NF
2019-06-22,18.4,139HOR_SF_M_NF
2019-07-04,38.1,139HOR_SF_M_NF
2019-07-12,38,139HOR_SF_M_NF
2019-08-02,37.8,139HOR_SF_M_NF
2019-08-09,38,139HOR_SF_M_NF
2019-08-23,43.4,139HOR_SF_M_NF
2019-09-05,52.2,139HOR_SF_M_NF
2019-09-11,45.3,139HOR_SF_M_NF
2019-09-19,28.1,139HOR_SF_M_NF
2019-05-10,4,140NOR_NF/MF_M_NF
2019-05-17,11,140NOR_NF/MF_M_NF
2019-05-30,19.3,140NOR_NF/MF_M_NF
2019-06-13,39.5,140NOR_NF/MF_M_NF
2019-06-22,0.1,140NOR_NF/MF_M_NF
2019-06-29,0.1,140NOR_NF/MF_M_NF
2019-07-04,0.1,140NOR_NF/MF_M_NF
2019-07-19,1.6,140NOR_NF/MF_M_NF
2019-07-26,1.4,140NOR_NF/MF_M_NF
2019-08-02,1.4,140NOR_NF/MF_M_NF
2019-05-20,2.8,15HOR_SF_M_SF
2019-05-23,6.4,15HOR_SF_M_SF
2019-05-30,8.4,15HOR_SF_M_SF
2019-06-06,19.2,15HOR_SF_M_SF
2019-06-13,32,15HOR_SF_M_SF
2019-06-22,6.2,15HOR_SF_M_SF
2019-07-04,12.9,15HOR_SF_M_SF
2019-07-12,10.8,15HOR_SF_M_SF
2019-07-19,11,15HOR_SF_M_SF
2019-09-12,10.8,15HOR_SF_M_SF
2019-09-19,8.1,15HOR_SF_M_SF
2019-05-21,2.8,16HOR_SF_M_SF
2019-05-23,5.5,16HOR_SF_M_SF
2019-06-06,24,16HOR_SF_M_SF
2019-07-04,12.8,16HOR_SF_M_SF
2019-05-15,2.8,18NOR_SF_F_NF
2019-05-17,3.1,18NOR_SF_F_NF
2019-05-20,3.1,18NOR_SF_F_NF
2019-05-31,2.4,18NOR_SF_F_NF
2019-06-06,12.9,18NOR_SF_F_NF
2019-06-14,12.9,18NOR_SF_F_NF
2019-06-29,36.6,18NOR_SF_F_NF
2019-07-04,36.4,18NOR_SF_F_NF
2019-07-12,36.4,18NOR_SF_F_NF
2019-07-19,36.7,18NOR_SF_F_NF
2019-07-26,35.7,18NOR_SF_F_NF
2019-08-09,37,18NOR_SF_F_NF
2019-08-16,36.6,18NOR_SF_F_NF
2019-05-15,2.4,21HOR_SF_M_SF
2019-05-20,2.8,21HOR_SF_M_SF
2019-05-23,2.9,21HOR_SF_M_SF
2019-05-30,9.5,21HOR_SF_M_SF
2019-06-22,36.2,21HOR_SF_M_SF
2019-06-29,36.2,21HOR_SF_M_SF
2019-07-12,36.1,21HOR_SF_M_SF
2019-07-19,27.3,21HOR_SF_M_SF
2019-08-02,36.2,21HOR_SF_M_SF
2019-08-09,36.3,21HOR_SF_M_SF
2019-08-16,36.3,21HOR_SF_M_SF
2019-08-23,36.2,21HOR_SF_M_SF
2019-09-05,35.4,21HOR_SF_M_SF
2019-09-11,0.2,21HOR_SF_M_SF
2019-09-12,0.2,21HOR_SF_M_SF
2019-05-15,2.9,22HOR_SF_F_SF
2019-05-23,27.7,22HOR_SF_F_SF
2019-06-06,4,22HOR_SF_F_SF
2019-06-13,4.2,22HOR_SF_F_SF
2019-06-22,4,22HOR_SF_F_SF
2019-06-29,4.2,22HOR_SF_F_SF
2019-07-04,4,22HOR_SF_F_SF
2019-07-12,4.4,22HOR_SF_F_SF
2019-07-19,4.1,22HOR_SF_F_SF
2019-08-02,4.3,22HOR_SF_F_SF
2019-08-09,4.2,22HOR_SF_F_SF
2019-08-16,3.9,22HOR_SF_F_SF
