FishID,date,MILE
30NOR_NF/MF_F_NF,2020-05-24,2.6
43HOR_SF_F_SF,2020-05-24,1.2
30NOR_NF/MF_F_NF,2020-05-27,2.5
43HOR_SF_F_SF,2020-05-27,1.3
16NOR_NF/MF_F_Unknown,2020-05-29,2.3
30NOR_NF/MF_F_NF,2020-05-29,2.7
43HOR_SF_F_SF,2020-05-29,1.2
53HOR_SF_M_Mainstem,2020-05-29,2.8
57NOR_SF_M_Mainstem,2020-05-29,2.8
60HOR_SF_M_SF,2020-05-29,2.8
63NOR_SF_F_Mainstem,2020-05-29,2.8
64NOR_NF/MF_F_SF,2020-05-29,2.7
113HOR_SF_M_SF,2020-06-01,2.8
115HOR_SF_F_Mainstem,2020-06-01,2.8
113HOR_SF_M_SF,2020-06-02,2.7
115HOR_SF_F_Mainstem,2020-06-02,0.7
116NOR_NF/MF_M_NF,2020-06-02,2
118HOR_SF_F_SF,2020-06-02,1.8
123NOR_NF/MF_F_NF,2020-06-02,2.9
16NOR_NF/MF_F_Unknown,2020-06-02,0
30NOR_NF/MF_F_NF,2020-06-02,1.3
43HOR_SF_F_SF,2020-06-02,1.3
57NOR_SF_M_Mainstem,2020-06-02,1.5
63NOR_SF_F_Mainstem,2020-06-02,4.7
115HOR_SF_F_Mainstem,2020-06-03,0.9
120NOR_NF/MF_M_NF,2020-06-03,2.8
123NOR_NF/MF_F_NF,2020-06-03,2.8
123NOR_NF/MF_F_NF,2020-06-03,3
30NOR_NF/MF_F_NF,2020-06-03,1.2
43HOR_SF_F_SF,2020-06-03,1.2
57NOR_SF_M_Mainstem,2020-06-03,7.1
63NOR_SF_F_Mainstem,2020-06-03,4.7
16NOR_NF/MF_F_Unknown,2020-06-04,1.9
30NOR_NF/MF_F_NF,2020-06-04,1.4
115HOR_SF_F_Mainstem,2020-06-05,0.7
116NOR_NF/MF_M_NF,2020-06-05,2.8
117HOR_SF_F_SF,2020-06-05,2.8
118HOR_SF_F_SF,2020-06-05,2.8
122HOR_SF_F_NF,2020-06-05,2.8
16NOR_NF/MF_F_Unknown,2020-06-05,0
18NOR_NF/MF_M_Mainstem,2020-06-05,2.8
30NOR_NF/MF_F_NF,2020-06-05,1.2
43HOR_SF_F_SF,2020-06-05,1.2
43HOR_SF_F_SF,2020-06-05,1.2
84HOR_SF_M_NF,2020-06-05,1.9
115HOR_SF_F_Mainstem,2020-06-08,0.6
116NOR_NF/MF_M_NF,2020-06-08,1.4
122HOR_SF_F_NF,2020-06-08,2.6
123NOR_NF/MF_F_NF,2020-06-08,3.1
126NOR_NF/MF_F_MF,2020-06-08,2.8
16NOR_NF/MF_F_Unknown,2020-06-08,0
43HOR_SF_F_SF,2020-06-08,1.2
115HOR_SF_F_Mainstem,2020-06-09,0.8
116NOR_NF/MF_M_NF,2020-06-09,0
118HOR_SF_F_SF,2020-06-09,3.8
120NOR_NF/MF_M_NF,2020-06-09,4.1
